distance,heart_rate,power,temperature,timestamp,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
14394.99,134,39.0,27,2023-05-11 01:36:42,24.0,46.799999999999955,5.701,39.94823441840708,116.42702020704746,3.273322422257164,1.0,-0.14000000000000057,0.0
14400.39,134,0.0,27,2023-05-11 01:36:43,24.0,46.799999999999955,4.507,39.94828060269356,116.42702791839838,0.0,1.0,-1.194,-39.0
14405.16,134,0.0,27,2023-05-11 01:36:44,0.0,46.60000000000002,4.507,39.948333660140634,116.42700059339404,-4.192872117398606,1.0,0.0,0.0
14411.38,134,0.0,27,2023-05-11 01:36:45,0.0,46.60000000000002,5.263,39.94838344864547,116.42696421593428,0.0,1.0,0.7560000000000002,0.0
14417.76,134,0.0,28,2023-05-11 01:36:46,0.0,46.39999999999998,5.542,39.948424184694886,116.42691308632493,-3.1347962382447263,1.0,0.2789999999999999,0.0
14423.99,134,0.0,28,2023-05-11 01:36:47,0.0,46.200000000000045,5.58,39.94845846667886,116.42685650847852,-3.2102728731933516,1.0,0.038000000000000256,0.0
14430.18,133,0.0,27,2023-05-11 01:36:48,0.0,46.200000000000045,5.514,39.94848361238837,116.42679314129055,0.0,1.0,-0.06599999999999984,0.0
14436.16,133,0.0,27,2023-05-11 01:36:49,0.0,46.0,5.44,39.94849702343345,116.426722984761,-3.344481605352175,1.0,-0.07399999999999984,0.0
14442.14,133,0.0,27,2023-05-11 01:36:50,0.0,46.0,5.449,39.94850389659405,116.42665291205049,0.0,1.0,0.008999999999999453,0.0
14448.21,132,90.0,27,2023-05-11 01:36:51,33.0,45.60000000000002,5.589,39.94850389659405,116.42658552154899,-6.589785831960403,1.0,0.14000000000000057,90.0
14454.0,132,90.0,28,2023-05-11 01:36:52,33.0,45.200000000000045,5.552,39.94849777780473,116.42651704140007,-6.9084628670106545,1.0,-0.03700000000000081,0.0
14459.56,132,136.0,27,2023-05-11 01:36:53,54.0,45.0,5.57,39.94849434122443,116.42645040526986,-3.5971223021594207,1.0,0.018000000000000682,46.0
14464.57,132,153.0,27,2023-05-11 01:36:54,62.0,45.0,5.496,39.948495011776686,116.42637873999774,0.0,1.0,-0.07399999999999984,17.0
14471.23,133,153.0,28,2023-05-11 01:36:55,62.0,45.0,5.253,39.94848872534931,116.42631528899074,0.0,1.0,-0.24300000000000033,0.0
14476.63,133,131.0,27,2023-05-11 01:36:56,59.0,45.0,5.123,39.94848160073161,116.42625167034566,0.0,1.0,-0.1299999999999999,-22.0
14482.46,133,135.0,27,2023-05-11 01:36:57,60.0,45.60000000000002,4.74,39.94847414083779,116.42618704587221,10.291595197256093,1.0,-0.383,4.0
14488.53,133,135.0,28,2023-05-11 01:36:58,60.0,46.0,4.609,39.94846475310624,116.42612921074033,6.589785831958428,1.0,-0.13100000000000023,0.0
14493.54,133,198.0,27,2023-05-11 01:36:59,60.0,46.200000000000045,4.731,39.94845720939338,116.42607003450394,3.9920159680646057,1.0,0.12199999999999989,63.0
14498.83,133,108.0,27,2023-05-11 01:37:00,59.0,46.200000000000045,4.945,39.94845570065081,116.42601069062948,0.0,1.0,0.2140000000000004,-90.0
14503.64,134,108.0,27,2023-05-11 01:37:01,59.0,46.39999999999998,5.001,39.948450503870845,116.42594816163182,4.1580041580031795,1.0,0.05600000000000005,0.0
14508.9,134,132.0,27,2023-05-11 01:37:02,57.0,46.60000000000002,5.104,39.94844924658537,116.42588496208191,3.802281368822,1.0,0.10299999999999976,24.0
14514.37,135,103.0,28,2023-05-11 01:37:03,60.0,46.60000000000002,5.188,39.94845410808921,116.42582461237907,0.0,1.0,0.08399999999999963,-29.0
14519.62,136,103.0,27,2023-05-11 01:37:04,60.0,46.799999999999955,5.179,39.94845846667886,116.42576090991497,3.8095238095225104,1.0,-0.008999999999999453,0.0
14525.06,136,103.0,27,2023-05-11 01:37:05,60.0,46.799999999999955,5.281,39.94846684858203,116.42569553107023,0.0,1.0,0.10199999999999942,0.0
14530.87,136,103.0,28,2023-05-11 01:37:06,60.0,47.200000000000045,5.496,39.94847095571458,116.42563266679645,6.884681583476778,1.0,0.21500000000000075,0.0
14536.16,136,95.0,27,2023-05-11 01:37:07,54.0,47.200000000000045,5.374,39.94847648777068,116.42556477338076,0.0,1.0,-0.12200000000000077,-8.0
14541.93,137,95.0,27,2023-05-11 01:37:08,54.0,47.39999999999998,5.542,39.948481349274516,116.42549428157508,3.466204506064413,1.0,0.16800000000000015,0.0
14548.01,137,145.0,28,2023-05-11 01:37:09,47.0,47.39999999999998,5.822,39.94848872534931,116.42542010173202,0.0,1.0,0.28000000000000025,50.0
14554.25,137,137.0,28,2023-05-11 01:37:10,64.0,47.39999999999998,6.121,39.94849828071892,116.42534491606057,0.0,1.0,0.2990000000000004,-8.0
14560.89,137,137.0,27,2023-05-11 01:37:11,64.0,47.39999999999998,6.224,39.948506662622094,116.42527123913169,0.0,1.0,0.10299999999999976,0.0
14567.35,138,137.0,28,2023-05-11 01:37:12,64.0,47.0,6.14,39.94851370342076,116.42519747838378,-6.191950464395026,1.0,-0.08400000000000052,0.0
14573.86,138,21.0,28,2023-05-11 01:37:13,41.0,46.799999999999955,6.13,39.94852242060006,116.42512505874038,-3.0721966205843128,1.0,-0.009999999999999787,-116.0
14580.02,138,21.0,27,2023-05-11 01:37:14,41.0,46.60000000000002,6.252,39.948532562702894,116.42504895105958,-3.246753246752216,1.0,0.12199999999999989,0.0
14586.51,138,80.0,28,2023-05-11 01:37:15,39.0,46.39999999999998,6.457,39.94853817857802,116.42497108317912,-3.0816640986140555,1.0,0.20500000000000007,59.0
14593.22,138,120.0,27,2023-05-11 01:37:16,72.0,46.60000000000002,6.494,39.94853977113962,116.42489103600383,2.980625931446669,1.0,0.03699999999999992,40.0
14600.08,138,120.0,27,2023-05-11 01:37:17,72.0,46.60000000000002,6.634,39.94854706339538,116.42481015063822,0.0,1.0,0.14000000000000057,0.0
