distance,heart_rate,temperature,timestamp,power,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
13524.12,158,27,2023-06-19 11:41:21,118.0,85.0,38.0,7.968,39.84609296545386,116.43277505412698,0.0,1.0,-0.038000000000000256,0.0
13532.16,159,27,2023-06-19 11:41:22,118.0,85.0,38.0,7.875,39.84602130018175,116.43278033472598,0.0,1.0,-0.09299999999999997,0.0
13539.96,160,27,2023-06-19 11:41:23,35.0,85.0,38.200000000000045,7.763,39.84594913199544,116.4327827654779,2.5641025641033863,1.0,-0.1120000000000001,-83.0
13548.05,160,27,2023-06-19 11:41:24,35.0,65.0,38.39999999999998,7.754,39.84587738290429,116.43278787843883,2.4721878862784696,1.0,-0.009000000000000341,0.0
13556.04,161,27,2023-06-19 11:41:25,93.0,59.0,38.39999999999998,7.866,39.845805717632174,116.43279248848557,0.0,1.0,0.1120000000000001,58.0
13564.4,162,27,2023-06-19 11:41:26,127.0,78.0,38.39999999999998,7.931,39.84573748894036,116.43279751762748,0.0,1.0,0.06500000000000039,34.0
13571.87,162,27,2023-06-19 11:41:27,107.0,84.0,38.39999999999998,7.978,39.84566573984921,116.43280045129359,0.0,1.0,0.04699999999999971,-20.0
13580.12,163,27,2023-06-19 11:41:28,107.0,84.0,38.39999999999998,7.978,39.84559298492968,116.43279642798007,0.0,1.0,0.0,0.0
13588.48,164,27,2023-06-19 11:41:29,124.0,69.0,38.200000000000045,8.108,39.84552064910531,116.43278737552464,-2.3923444976071933,1.0,0.13000000000000078,17.0
13596.47,164,27,2023-06-19 11:41:30,125.0,79.0,38.200000000000045,8.211,39.84544814564288,116.43278033472598,0.0,1.0,0.10299999999999976,1.0
13604.29,164,27,2023-06-19 11:41:31,136.0,84.0,38.0,8.286,39.845374720171094,116.43277807161212,-2.55754475703333,1.0,0.07499999999999929,11.0
13612.19,163,27,2023-06-19 11:41:32,128.0,86.0,37.60000000000002,8.286,39.845299534499645,116.43277999944985,-5.063291139240452,1.0,0.0,-8.0
13620.21,162,27,2023-06-19 11:41:33,117.0,86.0,37.39999999999998,8.332,39.84522158280015,116.4327790774405,-2.49376558603591,1.0,0.04600000000000115,-11.0
13629.01,160,27,2023-06-19 11:41:34,117.0,86.0,37.39999999999998,8.286,39.84514866024256,116.4327793288976,0.0,1.0,-0.04600000000000115,0.0
13637.28,160,27,2023-06-19 11:41:35,0.0,86.0,37.39999999999998,8.052,39.8450790066272,116.43278469331563,0.0,1.0,-0.23399999999999999,-117.0
